image,object_id,layer,index,ring_y,ring_x,ring_inten,contact_inten,overlap,closed
ER-LD 300uM OA+3 DOM 60x confocal Z003.nd2 - Z=3 C=0_104_10006,3,1,0,99,942,2021,183,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z003.nd2 - Z=3 C=0_104_10006,3,1,1,99,943,2113,217,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z003.nd2 - Z=3 C=0_104_10006,3,1,2,99,944,1956,182,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z003.nd2 - Z=3 C=0_104_10006,3,1,3,99,945,2364,181,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z003.nd2 - Z=3 C=0_104_10006,3,1,4,99,946,2560,188,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z003.nd2 - Z=3 C=0_104_10006,3,1,5,98,946,1952,173,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z003.nd2 - Z=3 C=0_104_10006,3,1,6,97,946,1805,135,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z003.nd2 - Z=3 C=0_104_10006,3,1,7,97,947,2074,150,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z003.nd2 - Z=3 C=0_104_10006,3,1,8,96,947,2014,193,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z003.nd2 - Z=3 C=0_104_10006,3,1,9,95,947,2145,129,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z003.nd2 - Z=3 C=0_104_10006,3,1,10,94,947,1955,137,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z003.nd2 - Z=3 C=0_104_10006,3,1,11,94,946,1776,99,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z003.nd2 - Z=3 C=0_104_10006,3,1,12,93,946,2089,113,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z003.nd2 - Z=3 C=0_104_10006,3,1,13,92,946,2506,163,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z003.nd2 - Z=3 C=0_104_10006,3,1,14,92,945,1990,145,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z003.nd2 - Z=3 C=0_104_10006,3,1,15,92,944,1836,163,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z003.nd2 - Z=3 C=0_104_10006,3,1,16,91,944,2242,126,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z003.nd2 - Z=3 C=0_104_10006,3,1,17,91,943,2197,128,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z003.nd2 - Z=3 C=0_104_10006,3,1,18,91,942,2200,169,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z003.nd2 - Z=3 C=0_104_10006,3,1,19,91,941,2234,172,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z003.nd2 - Z=3 C=0_104_10006,3,1,20,91,940,2506,189,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z003.nd2 - Z=3 C=0_104_10006,3,1,21,91,939,2834,203,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z003.nd2 - Z=3 C=0_104_10006,3,1,22,92,939,2345,142,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z003.nd2 - Z=3 C=0_104_10006,3,1,23,93,939,1941,111,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z003.nd2 - Z=3 C=0_104_10006,3,1,24,93,938,2613,141,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z003.nd2 - Z=3 C=0_104_10006,3,1,25,94,938,2192,127,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z003.nd2 - Z=3 C=0_104_10006,3,1,26,94,937,2829,110,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z003.nd2 - Z=3 C=0_104_10006,3,1,27,95,937,2737,155,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z003.nd2 - Z=3 C=0_104_10006,3,1,28,96,937,2383,145,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z003.nd2 - Z=3 C=0_104_10006,3,1,29,96,938,2275,167,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z003.nd2 - Z=3 C=0_104_10006,3,1,30,97,938,2187,169,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z003.nd2 - Z=3 C=0_104_10006,3,1,31,98,938,2211,176,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z003.nd2 - Z=3 C=0_104_10006,3,1,32,98,939,2114,189,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z003.nd2 - Z=3 C=0_104_10006,3,1,33,99,939,2279,228,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z003.nd2 - Z=3 C=0_104_10006,3,1,34,99,940,2150,221,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z003.nd2 - Z=3 C=0_104_10006,3,1,35,99,941,2253,192,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z003.nd2 - Z=3 C=0_104_10006,7,1,0,112,895,2459,264,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z003.nd2 - Z=3 C=0_104_10006,7,1,1,112,896,2609,253,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z003.nd2 - Z=3 C=0_104_10006,7,1,2,112,897,2578,225,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z003.nd2 - Z=3 C=0_104_10006,7,1,3,111,897,2105,162,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z003.nd2 - Z=3 C=0_104_10006,7,1,4,111,898,2374,121,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z003.nd2 - Z=3 C=0_104_10006,7,1,5,110,898,1959,140,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z003.nd2 - Z=3 C=0_104_10006,7,1,6,110,899,2223,128,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z003.nd2 - Z=3 C=0_104_10006,7,1,7,110,900,2603,151,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z003.nd2 - Z=3 C=0_104_10006,7,1,8,109,900,2336,168,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z003.nd2 - Z=3 C=0_104_10006,7,1,9,108,900,2019,140,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z003.nd2 - Z=3 C=0_104_10006,7,1,10,107,900,2151,85,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z003.nd2 - Z=3 C=0_104_10006,7,1,11,106,900,2077,76,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z003.nd2 - Z=3 C=0_104_10006,7,1,12,105,900,2007,76,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z003.nd2 - Z=3 C=0_104_10006,7,1,13,104,900,2036,47,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z003.nd2 - Z=3 C=0_104_10006,7,1,14,103,900,2276,88,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z003.nd2 - Z=3 C=0_104_10006,7,1,15,103,899,1951,68,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z003.nd2 - Z=3 C=0_104_10006,7,1,16,102,899,2285,63,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z003.nd2 - Z=3 C=0_104_10006,7,1,17,102,898,2017,101,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z003.nd2 - Z=3 C=0_104_10006,7,1,18,101,898,2178,95,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z003.nd2 - Z=3 C=0_104_10006,7,1,19,101,897,1978,66,false,true
ER-LD 300uM OA+3 DOM 60x confocal Z003.nd2 - Z=3 C=0_104_10006,7,1,20,101,896,1994,90,false,true
